id,context,question,answer_label_idx,label_A,label_B,label_C,label_D
12-590,if an animal relies on plants for food then that animal must store enough food to last through the winter,This creature is likely to hide away sustenance for the harsh wintry months,0,a chipmunk,a cactus,a chihuahua,a cat
12-591,the winter solstice is on June 21st in the southern hemisphere,June solstice is in winter in,2,Germany,Canada,New Zealand,Panama
12-593,height is an inherited characteristic,Characteristics that are inherited are unnaturally changeable. Which one of these is inherited?,2,how much you drink,How much you eat,How short you are,how much you weigh
12-594,a Punnett square is used to identify the percent chance of a trait being passed down from a parent to its offspring,A mad scientist is spawning a Xenomorph and wants to know how many acid dripping fangs it'll have. What is the best tool at his disposal to acquire this information?,0,a Punnett chart,square Ouija board,square plastic beaker,today's weather forecast
12-595,if something is in the sunlight then that something will absorb solar energy,If something is in the sunlight what will it absorb?,2,water,anger,warm rays,solar eclipse
12-596,animals taste flavors,Which would likely be detected by a human tongue?,2,air,plastic,vanilla,nothing
12-597,an animal requires oxygen for to breathe,What statement is true?,0,whales need oxygen,whales need fishing,whales need mercury,whales need boats
12-598,a hot something is a source of heat,Clothes fresh out of the laundry are great because they are,2,darkness,comfort,temperate,wonder
12-600,a doorbell converts electrical energy into sound,Which of the following relationships are true?,1,lemons :: sound energy,doorbells :: sound energy,doorbells :: light energy,lightbulbs :: sound energy
12-601,friction causes the temperature of an object to increase,"If an object eventually warms, it was exposed to",0,resistance,salt,moisture,sand
12-602,brick is an electrical insulator,adobe works as an electrical,3,paper weight,pie filler,chiller,anti-conductor
12-603,a stove generates heat for cooking usually,Which is the most accurate statement?,0,a stove can be used to make pasta,a stove is used to store food in the kitchen,a stove is used to store food underwater,a stove is used to cook food underwater
12-604,pencil lead contains mineral graphite,Which part of a pencil comes most directly from rocks?,2,eraser,logo,the middle,wood
12-605,steam is a kind of water above 100 degrees celsius,Which of the following is true?,2,lemonade can be heated to form water,lemonade can be cooled to form steam,lemonade can be heated to form steam,water can be cooled to form steam
12-607,food spoiling has a negative impact on the health of the animal that eats that food,"If a puppy eats old meat preserved improperly, it can",2,heal,do well,vomit,feel good
12-608,migration is when animals move themselves from a cooler climate to a warmer climate for the winter,which one of these would be a migratory outcome?,0,animals feeling more comfortable being outside,animals getting more sick,animals getting more aggressive,animals dying from sub-zero weather
12-609,An example of reproduction is laying eggs,When my parents reproduce they pass on genes like,3,Cats,Dating,Candy,A mole
12-611,"as the size of an object appears larger , that object will be observed better",Magnification makes a small thing,3,stuck on metal,hard to see,really very tiny,more easily seen
12-613,the solar system contains the moon,the closest star to our planet delivers solar energy to the planet,0,this is truth,all of these,unknown,maybe
12-614,binoculars are used for observing distant objects,A woman looking through binoculars is watching something,0,distant,near,close,beside her
12-615,An example of conservation is avoiding waste,Taking shorter showers is a great way to conserve,0,H2O,gasoline,sunshine,electricity
12-616,treating water is used to remove harmful substances before drinking,Which is likely to still be in water after treatment?,2,feces,dirt,harmless dissolved rocks,mercury
12-619,a glacier causes mechanical weathering,Mechanical weathering is a end result of a,3,wind turbines,solar panel,shad tree mechanic,giant ice river
12-620,"as distance from an object decreases , the the pull of gravity on that object increases",the gravitational pull between two objects increases as they are,1,spun around,brought together,exposed to light,moved apart
12-622,speed is a measure of how fast an object is moving,"If a bird is moving through the sky, someone wanting to know the speed would",1,speedily enjoy viewing,observe quickness,watch slowly,look away
12-623,ink is used for hiding from predators by octopuses,Which is the most accurate statement?,0,octopuses avoid sharks by blinding them with a dark substance,octopuses avoid scorpions using ink,octopuses avoid sharks using powerful claws,octopuses avoid scorpions by eating them
12-624,a trunk is a source of support for a tree,Redwoods are supported by,1,donations from the environmental protection agency,very large and thick trunks,twenty chainsaw wielding psychopaths,industrial plants near the ocean
12-625,natural disasters can cause animals to leave an environment,A series of horrible earthquakes can effect deer populations by forcing,0,relocation,planting seeds,breeding,studying
12-626,each season occurs once per year,Due to the wobble of the earth it has four different,3,visitors,locations,time zones,seasons
12-627,water vapor is found in the atmosphere,Which is likely water vapor?,3,a dog,a cat,a rat,puffy white fliers
12-629,eye color is an inherited characteristic,The color of what is an inherited characteristic?,0,vision organ,wallpaper,blood,dirt
12-630,hydropower is when falling water produces electricity,Which of the following is most accurate?,1,humans can build bombs to harness hydropower,dams are a means of reducing reliance on oil,humans can build skyscapers to harness hydropower,humans cannot build dams to harness hydropower
12-632,water flows down a slope,"If a hill has a sharp decline on a side, water will first run down",1,a flat edge,sharpest side,everywhere,a softer side
